# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Missing
2466at3193	Complete	Chr18	9394492	9393306	-	404.5	210	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Missing
10350at3193	Complete	Chr26	4822246	4826271	+	484.8	366	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr04	5199032	5240247	+	638.5	483	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr13	12410990	12405854	-	818.1	445	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Missing
22478at3193	Fragmented	Chr06	20466020	20468789	+	237.2	186	https://www.orthodb.org/?query=22478at3193	Nuclear pore complex protein NUP43
24431at3193	Complete	Chr11	25527520	25533778	+	908.2	537	https://www.orthodb.org/?query=24431at3193	Outer envelope protein 61
25348at3193	Complete	Chr26	29964390	29968554	+	677.5	384	https://www.orthodb.org/?query=25348at3193	L-2-HYDROXYGLUTARATE DEHYDROGENASE MITOCHONDRIAL
26319at3193	Complete	Chr18	27845959	27850837	+	664.9	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr13	23409050	23416527	+	468.4	270	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Complete	Chr18	2350510	2346959	-	933.8	661	https://www.orthodb.org/?query=29004at3193	Mitochondrial carrier protein
29531at3193	Complete	Chr06	5133723	5130219	-	620.1	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Complete	Chr08	8733742	8730034	-	1051.4	498	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Missing
32353at3193	Complete	Chr11	17123307	17119936	-	597.1	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Complete	Chr13	7944967	7947786	+	555.8	300	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
34178at3193	Complete	Chr28	21161149	21164818	+	534.5	306	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr18	31709067	31705105	-	776.8	468	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr19	7574877	7567871	-	1431.8	923	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr04	11243707	11229043	-	574.1	328	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr11	25308808	25319358	+	1496.6	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Missing
40604at3193	Complete	Chr19	7450110	7454775	+	690.2	387	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Complete	Chr22	17643850	17647184	+	497.7	285	https://www.orthodb.org/?query=40647at3193	atp synthase protein i
41656at3193	Complete	Chr01	3072014	3074428	+	146.9	95	https://www.orthodb.org/?query=41656at3193	RNA polymerase II transcriptional coactivator
42511at3193	Complete	Chr19	7099599	7100577	+	442.6	272	https://www.orthodb.org/?query=42511at3193	S-adenosyl-L-methionine-dependent methyltransferase
44148at3193	Complete	Chr10	9690934	9692533	+	782.3	479	https://www.orthodb.org/?query=44148at3193	U3 small nucleolar RNA-associated protein
44385at3193	Complete	Chr08	759078	754329	-	1485.3	690	https://www.orthodb.org/?query=44385at3193	1,4-alpha-glucan-branching enzyme
45995at3193	Complete	Chr22	7773330	7778533	+	679.8	431	https://www.orthodb.org/?query=45995at3193	pentatricopeptide repeat-containing protein
47129at3193	Complete	Chr18	17679923	17677239	-	661.4	372	https://www.orthodb.org/?query=47129at3193	Zinc finger hit domain-containing
47727at3193	Complete	Chr18	12007200	12009911	+	436.0	272	https://www.orthodb.org/?query=47727at3193	Myb family transcription factor
48098at3193	Complete	Chr13	7931796	7942454	+	215.6	121	https://www.orthodb.org/?query=48098at3193	Acetyl-CoA decarbonylase/synthase complex subunit alpha 1
52640at3193	Complete	Chr11	20777624	20774652	-	431.6	214	https://www.orthodb.org/?query=52640at3193	rhodanese-like domain-containing protein
53615at3193	Complete	Chr13	31401688	31405958	+	484.1	275	https://www.orthodb.org/?query=53615at3193	Tubby
54323at3193	Complete	Chr11	24354492	24362644	+	1409.8	802	https://www.orthodb.org/?query=54323at3193	DUF639 family protein
57017at3193	Complete	Chr10	1092757	1085331	-	205.2	139	https://www.orthodb.org/?query=57017at3193	KH domain-containing protein
57063at3193	Complete	Chr15	2220800	2225312	+	904.0	518	https://www.orthodb.org/?query=57063at3193	Pumilio
58104at3193	Complete	Chr11	3957739	3960582	+	699.7	415	https://www.orthodb.org/?query=58104at3193	Pentatricopeptide repeat-containing protein
59814at3193	Complete	Chr11	19050691	19044137	-	1246.5	617	https://www.orthodb.org/?query=59814at3193	Gamma-tubulin complex component
61870at3193	Complete	Chr11	6703086	6705128	+	723.2	469	https://www.orthodb.org/?query=61870at3193	GTP diphosphokinase
61994at3193	Missing
62596at3193	Complete	Chr06	935975	929838	-	370.7	189	https://www.orthodb.org/?query=62596at3193	TRNA (cytidine(34)-2'-O)-methyltransferase
63225at3193	Complete	Chr15	4825857	4825425	-	241.8	151	https://www.orthodb.org/?query=63225at3193	FERREDOXIN
63409at3193	Complete	Chr08	6022480	6020414	-	243.2	142	https://www.orthodb.org/?query=63409at3193	uncharacterized protein LOC118036164 isoform X1
64148at3193	Complete	Chr10	6976308	6977496	+	596.4	323	https://www.orthodb.org/?query=64148at3193	pentatricopeptide repeat-containing protein
64381at3193	Complete	Chr11	18853980	18851082	-	672.8	385	https://www.orthodb.org/?query=64381at3193	DNA excision repair protein ERCC-1
64545at3193	Complete	Chr18	11746827	11757948	+	929.2	682	https://www.orthodb.org/?query=64545at3193	Dimerizations protein
64958at3193	Complete	Chr08	10248828	10263497	+	598.3	445	https://www.orthodb.org/?query=64958at3193	Zinc finger CCCH domain-containing protein
65375at3193	Complete	Chr10	5767467	5762209	-	196.9	124	https://www.orthodb.org/?query=65375at3193	Zinc finger HIT domain-containing protein 3
65668at3193	Complete	Chr28	17588409	17584392	-	1581.3	989	https://www.orthodb.org/?query=65668at3193	AP-5 complex subunit beta-1
66120at3193	Complete	Chr26	13683493	13686402	+	491.5	305	https://www.orthodb.org/?query=66120at3193	AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR
67447at3193	Complete	Chr08	16147165	16143992	-	717.5	434	https://www.orthodb.org/?query=67447at3193	Pentatricopeptide repeat-containing protein
70457at3193	Complete	Chr19	7446534	7485785	+	384.3	210	https://www.orthodb.org/?query=70457at3193	CRAL_TRIO domain-containing protein
70634at3193	Complete	Chr10	10139966	10138399	-	132.0	79	https://www.orthodb.org/?query=70634at3193	Leucine-rich repeat-containing N-terminal, plant-type
70679at3193	Complete	Chr15	1211980	1207207	-	916.1	549	https://www.orthodb.org/?query=70679at3193	Mediator of RNA polymerase II transcription subunit 8
70875at3193	Complete	Chr19	5813854	5809191	-	766.5	350	https://www.orthodb.org/?query=70875at3193	Kelch domain-containing protein
70938at3193	Complete	Chr13	8226769	8224801	-	1058.9	612	https://www.orthodb.org/?query=70938at3193	pentatricopeptide repeat-containing protein
72622at3193	Complete	Chr06	25599401	25593221	-	901.0	735	https://www.orthodb.org/?query=72622at3193	nuclear pore complex protein
73343at3193	Complete	Chr24	6784460	6789195	+	1310.5	1032	https://www.orthodb.org/?query=73343at3193	dentin sialophosphoprotein-like
73712at3193	Complete	Chr08	8748209	8752090	+	747.6	433	https://www.orthodb.org/?query=73712at3193	peptidyl-prolyl cis-trans isomerase
75351at3193	Complete	Chr13	8340152	8346599	+	1020.1	628	https://www.orthodb.org/?query=75351at3193	Asparagine synthetase domain-containing protein
77018at3193	Complete	Chr28	5451681	5450382	-	576.0	325	https://www.orthodb.org/?query=77018at3193	Root primordium defective
80624at3193	Complete	Chr18	6359972	6362126	+	333.3	163	https://www.orthodb.org/?query=80624at3193	Ribosomal protein
80691at3193	Complete	Chr06	31424488	31420358	-	780.6	402	https://www.orthodb.org/?query=80691at3193	AUGMIN subunit 4
82160at3193	Complete	Chr06	11258508	11262981	+	485.0	284	https://www.orthodb.org/?query=82160at3193	mitochondrial outer membrane import complex protein
85763at3193	Complete	Chr11	618451	615196	-	769.3	595	https://www.orthodb.org/?query=85763at3193	bromodomain-containing protein
88535at3193	Complete	Chr18	28219076	28213546	-	409.9	249	https://www.orthodb.org/?query=88535at3193	nusG
89162at3193	Complete	Chr08	9133785	9131390	-	303.7	178	https://www.orthodb.org/?query=89162at3193	uncharacterized protein LOC132184112 isoform X1
89299at3193	Complete	Chr15	687271	689358	+	266.6	193	https://www.orthodb.org/?query=89299at3193	Ribosomal protein
90405at3193	Complete	Chr08	1951629	1958496	+	951.8	698	https://www.orthodb.org/?query=90405at3193	Kinesin
91839at3193	Fragmented	Chr10	7391119	7390438	-	130.5	144	https://www.orthodb.org/?query=91839at3193	DnaJ subfamily C member 2
93216at3193	Complete	Chr04	10748383	10750081	+	206.5	161	https://www.orthodb.org/?query=93216at3193	coiled-coil domain-containing protein
93245at3193	Complete	Chr28	12939820	12938425	-	373.5	186	https://www.orthodb.org/?query=93245at3193	peptidyl-prolyl cis-trans isomerase
94451at3193	Complete	Chr11	6884932	6881052	-	645.6	412	https://www.orthodb.org/?query=94451at3193	ACTIN PROTEIN 2/3 COMPLEX SUBUNIT-LIKE PROTEIN
98540at3193	Complete	Chr10	19936736	19936382	-	142.8	104	https://www.orthodb.org/?query=98540at3193	probable basic-leucine zipper transcription factor P isoform X2
100242at3193	Complete	Chr04	13993293	13985112	-	263.2	142	https://www.orthodb.org/?query=100242at3193	DEAD-box ATP-dependent RNA helicase
100993at3193	Complete	Chr26	14765718	14765487	-	126.1	69	https://www.orthodb.org/?query=100993at3193	uncharacterized protein LOC110623473 isoform X1
101791at3193	Complete	Chr24	13058208	13054943	-	161.3	154	https://www.orthodb.org/?query=101791at3193	Ribosomal RNA-processing protein
104128at3193	Complete	Chr24	2617502	2613294	-	732.2	501	https://www.orthodb.org/?query=104128at3193	Tic 62 protein
104546at3193	Complete	Chr22	15337063	15338997	+	153.5	177	https://www.orthodb.org/?query=104546at3193	Protein ECERIFERUM 16
108041at3193	Complete	Chr24	6262019	6263636	+	364.3	318	https://www.orthodb.org/?query=108041at3193	SMAD/FHA domain-containing protein
108863at3193	Complete	Chr28	26833935	26843746	+	510.8	477	https://www.orthodb.org/?query=108863at3193	nuclear fragile X mental retardation-interacting protein
108886at3193	Complete	Chr15	26367396	26358856	-	485.1	301	https://www.orthodb.org/?query=108886at3193	protein ROOT PRIMORDIUM DEFECTIVE
