# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Complete	Chr25	3228694	3230923	+	219.0	121	https://www.orthodb.org/?query=1064at3193	Dual specificity phosphatase
2466at3193	Complete	Chr17	20784803	20786653	+	344.4	208	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Complete	Chr12	3705200	3703657	-	322.7	181	https://www.orthodb.org/?query=4636at3193	protein translocase subunit SecA
10350at3193	Complete	Chr25	4426795	4428295	+	484.5	360	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr03	3035247	3044707	+	622.5	468	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr14	9926498	9924518	-	695.8	444	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Complete	Chr07	31299717	31302032	+	406.8	211	https://www.orthodb.org/?query=18578at3193	PsbP domain-containing protein 4, chloroplastic
22478at3193	Missing
24431at3193	Complete	Chr12	22011305	22000357	-	843.4	537	https://www.orthodb.org/?query=24431at3193	Outer envelope protein 61
25348at3193	Missing
26319at3193	Complete	Chr17	5231628	5226953	-	671.6	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr14	14359456	14384918	+	421.1	289	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Complete	Chr17	27706906	27710486	+	940.2	661	https://www.orthodb.org/?query=29004at3193	Mitochondrial carrier protein
29531at3193	Complete	Chr05	1543558	1540022	-	696.1	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Missing
30885at3193	Complete	Chr17	1402351	1398947	-	859.4	506	https://www.orthodb.org/?query=30885at3193	dol-p-glc:glc(2)man(9)glcnac(2)-pp-dol alpha-1,2-glucosyltransferase
32353at3193	Complete	Chr12	12915630	12912355	-	590.2	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Missing
34178at3193	Complete	Chr27	16280873	16284521	+	470.8	305	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr17	1842509	1847220	+	725.4	488	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr20	6275387	6267833	-	1523.1	926	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr03	8772981	8769232	-	667.9	365	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr12	22097732	22087358	-	1494.0	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Complete	Chr07	6564421	6566178	+	213.1	136	https://www.orthodb.org/?query=40191at3193	Spindle and kinetochore-associated protein
40604at3193	Complete	Chr20	6080468	6085323	+	631.5	385	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Fragmented	Chr21	12592384	12600058	+	121.5	94	https://www.orthodb.org/?query=40647at3193	atp synthase protein i
41656at3193	Complete	Chr02	1734585	1737123	+	143.5	82	https://www.orthodb.org/?query=41656at3193	RNA polymerase II transcriptional coactivator
42511at3193	Missing
44148at3193	Missing
44385at3193	Complete	Chr25	4692051	4625218	-	938.4	677	https://www.orthodb.org/?query=44385at3193	1,4-alpha-glucan-branching enzyme
45995at3193	Missing
47129at3193	Complete	Chr17	11494282	11497178	+	661.0	372	https://www.orthodb.org/?query=47129at3193	Zinc finger hit domain-containing
47727at3193	Complete	Chr17	18016621	18013732	-	431.5	273	https://www.orthodb.org/?query=47727at3193	Myb family transcription factor
