# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Complete	Chr25	2538339	2540640	+	222.6	121	https://www.orthodb.org/?query=1064at3193	Dual specificity phosphatase
2466at3193	Missing
4636at3193	Complete	Chr12	2905579	2899376	-	333.9	183	https://www.orthodb.org/?query=4636at3193	protein translocase subunit SecA
10350at3193	Complete	Chr25	3498939	3500442	+	490.5	366	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Duplicated	Chr03	2517910	2520845	+	629.2	468	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
15326at3193	Duplicated	Chr17	27714062	27718326	+	722.0	405	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Missing
18578at3193	Complete	Chr07	33597369	33606700	+	422.5	231	https://www.orthodb.org/?query=18578at3193	PsbP domain-containing protein 4, chloroplastic
22478at3193	Missing
24431at3193	Missing
25348at3193	Missing
26319at3193	Missing
26425at3193	Fragmented	Chr14	12791609	12798826	+	115.8	219	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Missing
29531at3193	Complete	Chr05	1430180	1426588	-	690.5	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Complete	Chr07	7014076	7010243	-	1046.3	498	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Complete	Chr17	1337902	1334640	-	849.3	506	https://www.orthodb.org/?query=30885at3193	dol-p-glc:glc(2)man(9)glcnac(2)-pp-dol alpha-1,2-glucosyltransferase
32353at3193	Complete	Chr12	11301578	11298283	-	596.1	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Fragmented	Chr14	5453213	5451178	-	357.5	219	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
34178at3193	Complete	Chr27	15094962	15102382	+	468.1	306	https://www.orthodb.org/?query=34178at3193	MRNA cap guanine-N7 methyltransferase
34289at3193	Complete	Chr17	1521969	1543359	+	623.2	465	https://www.orthodb.org/?query=34289at3193	Kinesin
36662at3193	Complete	Chr20	4774093	4766552	-	1506.8	926	https://www.orthodb.org/?query=36662at3193	Guanine nucleotide-binding protein, beta
36748at3193	Complete	Chr03	7320156	7316827	-	664.9	342	https://www.orthodb.org/?query=36748at3193	transducin beta-like protein 2-like
39770at3193	Complete	Chr12	23181997	23171557	-	1484.4	909	https://www.orthodb.org/?query=39770at3193	Kinesin
40191at3193	Complete	Chr07	7838205	7839925	+	213.2	136	https://www.orthodb.org/?query=40191at3193	Spindle and kinetochore-associated protein
40604at3193	Fragmented	Chr20	4467655	4471605	+	265.9	250	https://www.orthodb.org/?query=40604at3193	JmjC domain-containing protein
40647at3193	Missing
41656at3193	Complete	Chr02	1414360	1416861	+	141.3	83	https://www.orthodb.org/?query=41656at3193	RNA polymerase II transcriptional coactivator
42511at3193	Fragmented	Chr27	22505291	22508909	+	173.0	216	https://www.orthodb.org/?query=42511at3193	S-adenosyl-L-methionine-dependent methyltransferase
44148at3193	Missing
44385at3193	Complete	Chr07	606061	600711	-	1474.0	692	https://www.orthodb.org/?query=44385at3193	1,4-alpha-glucan-branching enzyme
45995at3193	Complete	Chr21	4520872	4522684	+	770.1	430	https://www.orthodb.org/?query=45995at3193	pentatricopeptide repeat-containing protein
47129at3193	Complete	Chr17	12222836	12225409	+	668.4	371	https://www.orthodb.org/?query=47129at3193	Zinc finger hit domain-containing
47727at3193	Complete	Chr17	18057004	18053510	-	409.9	273	https://www.orthodb.org/?query=47727at3193	Myb family transcription factor
48098at3193	Complete	Chr14	5462668	5461037	-	218.6	121	https://www.orthodb.org/?query=48098at3193	Acetyl-CoA decarbonylase/synthase complex subunit alpha 1
52640at3193	Missing
53615at3193	Fragmented	Chr07	2893208	2892235	-	73.0	190	https://www.orthodb.org/?query=53615at3193	Tubby
54323at3193	Complete	Chr12	18867670	18874800	+	1069.5	695	https://www.orthodb.org/?query=54323at3193	DUF639 family protein
57017at3193	Complete	Chr09	877786	875997	-	200.1	140	https://www.orthodb.org/?query=57017at3193	KH domain-containing protein
57063at3193	Complete	Chr16	1823164	1827736	+	842.2	516	https://www.orthodb.org/?query=57063at3193	Pumilio
58104at3193	Complete	Chr12	2120988	2122458	+	748.2	416	https://www.orthodb.org/?query=58104at3193	Pentatricopeptide repeat-containing protein
59814at3193	Missing
61870at3193	Missing
61994at3193	Complete	Chr23	6158720	6157382	-	691.4	376	https://www.orthodb.org/?query=61994at3193	pentatricopeptide repeat-containing protein
62596at3193	Missing
63225at3193	Complete	Chr16	4570948	4570516	-	240.3	151	https://www.orthodb.org/?query=63225at3193	FERREDOXIN
63409at3193	Complete	Chr07	4978052	4976265	-	242.7	142	https://www.orthodb.org/?query=63409at3193	uncharacterized protein LOC118036164 isoform X1
64148at3193	Missing
64381at3193	Complete	Chr12	12566482	12563604	-	604.8	379	https://www.orthodb.org/?query=64381at3193	DNA excision repair protein ERCC-1
64545at3193	Missing
64958at3193	Complete	Chr07	8354265	8360808	+	615.8	433	https://www.orthodb.org/?query=64958at3193	Zinc finger CCCH domain-containing protein
65375at3193	Missing
65668at3193	Complete	Chr27	14240235	14230719	-	1314.9	925	https://www.orthodb.org/?query=65668at3193	AP-5 complex subunit beta-1
66120at3193	Complete	Chr25	10839235	10848346	+	489.6	305	https://www.orthodb.org/?query=66120at3193	AP2-LIKE ETHYLENE-RESPONSIVE TRANSCRIPTION FACTOR
67447at3193	Complete	Chr07	13337225	13331507	-	766.0	434	https://www.orthodb.org/?query=67447at3193	Pentatricopeptide repeat-containing protein
70457at3193	Fragmented	Chr20	4496746	4504359	+	193.2	130	https://www.orthodb.org/?query=70457at3193	CRAL_TRIO domain-containing protein
70634at3193	Complete	Chr09	7113803	7112240	-	112.9	78	https://www.orthodb.org/?query=70634at3193	Leucine-rich repeat-containing N-terminal, plant-type
70679at3193	Complete	Chr16	1025008	1020309	-	861.4	548	https://www.orthodb.org/?query=70679at3193	Mediator of RNA polymerase II transcription subunit 8
70875at3193	Missing
70938at3193	Complete	Chr14	5773967	5771999	-	1063.7	612	https://www.orthodb.org/?query=70938at3193	pentatricopeptide repeat-containing protein
72622at3193	Complete	Chr05	15162514	15151142	-	893.0	735	https://www.orthodb.org/?query=72622at3193	nuclear pore complex protein
73343at3193	Complete	Chr23	3920838	3926954	+	1732.9	1240	https://www.orthodb.org/?query=73343at3193	dentin sialophosphoprotein-like
73712at3193	Fragmented	Chr07	7024520	7028634	+	254.4	221	https://www.orthodb.org/?query=73712at3193	peptidyl-prolyl cis-trans isomerase
75351at3193	Missing
77018at3193	Complete	Chr27	3499241	3497942	-	575.8	327	https://www.orthodb.org/?query=77018at3193	Root primordium defective
80624at3193	Complete	Chr17	22558503	22546905	-	299.8	162	https://www.orthodb.org/?query=80624at3193	Ribosomal protein
80691at3193	Missing
82160at3193	Complete	Chr05	3358666	3354059	-	463.3	284	https://www.orthodb.org/?query=82160at3193	mitochondrial outer membrane import complex protein
85763at3193	Complete	Chr12	536701	525638	-	708.4	592	https://www.orthodb.org/?query=85763at3193	bromodomain-containing protein
88535at3193	Missing
89162at3193	Complete	Chr07	7383324	7381230	-	287.3	169	https://www.orthodb.org/?query=89162at3193	uncharacterized protein LOC132184112 isoform X1
89299at3193	Complete	Chr16	541314	550917	+	334.2	188	https://www.orthodb.org/?query=89299at3193	Ribosomal protein
90405at3193	Complete	Chr07	1623069	1630198	+	969.7	688	https://www.orthodb.org/?query=90405at3193	Kinesin
91839at3193	Complete	Chr17	20890411	20889508	-	331.9	236	https://www.orthodb.org/?query=91839at3193	DnaJ subfamily C member 2
93216at3193	Complete	Chr03	6970576	6972325	+	214.2	161	https://www.orthodb.org/?query=93216at3193	coiled-coil domain-containing protein
93245at3193	Missing
94451at3193	Fragmented	Chr12	3545435	3541839	-	370.8	288	https://www.orthodb.org/?query=94451at3193	ACTIN PROTEIN 2/3 COMPLEX SUBUNIT-LIKE PROTEIN
98540at3193	Missing
100242at3193	Complete	Chr03	8942053	8939105	-	255.9	142	https://www.orthodb.org/?query=100242at3193	DEAD-box ATP-dependent RNA helicase
100993at3193	Complete	Chr25	11598687	11598918	+	125.6	69	https://www.orthodb.org/?query=100993at3193	uncharacterized protein LOC110623473 isoform X1
101791at3193	Complete	Chr23	8480602	8506734	+	170.3	153	https://www.orthodb.org/?query=101791at3193	Ribosomal RNA-processing protein
104128at3193	Complete	Chr23	1761235	1752327	-	702.5	451	https://www.orthodb.org/?query=104128at3193	Tic 62 protein
104546at3193	Complete	Chr21	9026169	9028464	+	132.6	177	https://www.orthodb.org/?query=104546at3193	Protein ECERIFERUM 16
108041at3193	Missing
108863at3193	Complete	Chr27	17549970	17546399	-	625.8	590	https://www.orthodb.org/?query=108863at3193	nuclear fragile X mental retardation-interacting protein
108886at3193	Fragmented	Chr03	6360112	6337085	-	218.8	237	https://www.orthodb.org/?query=108886at3193	protein ROOT PRIMORDIUM DEFECTIVE
109045at3193	Missing
