# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Missing
2466at3193	Complete	Chr18	9038537	9037317	-	405.7	210	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Missing
10350at3193	Complete	Chr26	4600175	4601657	+	489.7	366	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr18	151317	130566	-	1024.5	490	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr13	19030015	19044243	+	813.9	442	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Missing
22478at3193	Fragmented	Chr06	14046495	14049275	+	235.1	187	https://www.orthodb.org/?query=22478at3193	Nuclear pore complex protein NUP43
24431at3193	Complete	Chr11	22886060	22892013	+	900.9	537	https://www.orthodb.org/?query=24431at3193	Outer envelope protein 61
25348at3193	Duplicated	Chr26	27376999	27372801	-	675.0	384	https://www.orthodb.org/?query=25348at3193	L-2-HYDROXYGLUTARATE DEHYDROGENASE MITOCHONDRIAL
25348at3193	Duplicated	Chr26	27708078	27703887	-	654.4	384	https://www.orthodb.org/?query=25348at3193	L-2-HYDROXYGLUTARATE DEHYDROGENASE MITOCHONDRIAL
26319at3193	Complete	Chr18	23522956	23529964	+	663.2	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr13	10305196	10300973	-	476.1	279	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Missing
29531at3193	Duplicated	Chr06	4748327	4736010	-	577.1	332	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29531at3193	Duplicated	Chr06	4643937	4640408	-	547.3	332	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Complete	Chr08	8227098	8223232	-	1046.5	497	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Missing
32353at3193	Complete	Chr11	15666888	15663482	-	597.0	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
33065at3193	Complete	Chr13	23833261	23830371	-	557.0	300	https://www.orthodb.org/?query=33065at3193	clp protease adapter protein ClpF, chloroplastic
