# BUSCO version is: 5.8.3 
# The lineage dataset is: embryophyta_odb12 (Creation date: 2025-07-01, number of genomes: 78, number of BUSCOs: 2026)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length	OrthoDB url	Description
1064at3193	Complete	Chr25	2372462	2374661	+	222.7	121	https://www.orthodb.org/?query=1064at3193	Dual specificity phosphatase
2466at3193	Complete	Chr17	18384900	18386642	+	301.0	210	https://www.orthodb.org/?query=2466at3193	TLDc domain-containing protein
4636at3193	Complete	Chr12	3476847	3475285	-	323.9	181	https://www.orthodb.org/?query=4636at3193	protein translocase subunit SecA
10350at3193	Complete	Chr25	3471521	3473015	+	494.1	376	https://www.orthodb.org/?query=10350at3193	Pan domain-containing protein
15326at3193	Complete	Chr03	3369431	3387100	+	623.2	475	https://www.orthodb.org/?query=15326at3193	Asparagine--trna ligase
17927at3193	Complete	Chr14	8282266	8280657	-	699.6	445	https://www.orthodb.org/?query=17927at3193	Pentatricopeptide repeat-containing protein
18578at3193	Complete	Chr07	28141003	28142969	+	408.9	218	https://www.orthodb.org/?query=18578at3193	PsbP domain-containing protein 4, chloroplastic
22478at3193	Missing
24431at3193	Missing
25348at3193	Missing
26319at3193	Complete	Chr17	4355256	4350544	-	667.5	380	https://www.orthodb.org/?query=26319at3193	SSUH2-like protein
26425at3193	Complete	Chr14	11985981	12010622	+	389.5	285	https://www.orthodb.org/?query=26425at3193	UDP-3-O-acyl-N-acetylglucosamine deacetylase
29004at3193	Complete	Chr17	24490020	24493600	+	916.6	644	https://www.orthodb.org/?query=29004at3193	Mitochondrial carrier protein
29531at3193	Complete	Chr05	1246851	1243286	-	697.5	333	https://www.orthodb.org/?query=29531at3193	GTP 3',8-cyclase
29727at3193	Complete	Chr07	6085500	6081535	-	1043.5	497	https://www.orthodb.org/?query=29727at3193	conserved oligomeric golgi complex subunit 8
30885at3193	Complete	Chr17	1111877	1108506	-	857.3	506	https://www.orthodb.org/?query=30885at3193	dol-p-glc:glc(2)man(9)glcnac(2)-pp-dol alpha-1,2-glucosyltransferase
32353at3193	Complete	Chr12	12484990	12481734	-	590.6	299	https://www.orthodb.org/?query=32353at3193	F-actin-capping protein subunit
