## 1.1.1
## assembly	: /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/primary_asm/HART067.fa
## coverage	 bam0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART067/06_realign_hic_hifi/asm.hifi.bam
## taxonomy	 tax0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART067/07_busco_yak_blob/blast.out
## nodesDB	: /90daydata/coffea_pangenome/puzzler_trials/blob_downloads/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
Chr01	21460717	0.3349	138	34.6987	Streptophyta	117137.0	0
Chr02	23183791	0.3327	46	35.3281	Streptophyta	120332.0	0
Chr03	23610916	0.3348	115	35.6696	Streptophyta	133910.0	0
Chr04	26899216	0.335	0	35.7128	Streptophyta	115680.0	0
Chr05	23248857	0.3322	115	34.7769	Streptophyta	133105.0	0
Chr06	29297052	0.3324	0	34.6867	Streptophyta	130476.0	0
Chr07	32595117	0.3352	0	36.6973	Streptophyta	115563.0	0
Chr08	32371528	0.3364	376	35.3015	Streptophyta	119745.0	0
Chr09	26850212	0.3367	461	35.3966	Streptophyta	128930.0	0
Chr10	34508000	0.3382	100	36.2998	Streptophyta	125898.0	0
Chr11	32479479	0.3362	261	34.9751	Streptophyta	135045.0	0
Chr12	30239698	0.3373	0	35.553	Streptophyta	134664.0	0
Chr13	28388832	0.3362	23	35.3999	Streptophyta	127075.0	0
Chr14	21930739	0.3398	192	34.8452	Streptophyta	75821.0	0
Chr15	25808772	0.3351	23	35.2819	Streptophyta	179533.0	0
Chr16	24915913	0.3436	146	35.2044	Streptophyta	133040.0	0
Chr17	28236491	0.3379	23	36.644	Streptophyta	198219.0	0
Chr18	25868383	0.3354	69	35.0993	Streptophyta	133340.0	0
Chr19	30218271	0.3346	0	35.117	Streptophyta	126508.0	0
Chr20	24174208	0.3344	46	35.1749	Streptophyta	194681.0	0
Chr21	28552941	0.3433	269	34.7791	Streptophyta	173014.0	0
Chr22	29596409	0.3376	0	35.4219	Streptophyta	302871.0	0
Chr23	27478391	0.3359	261	35.194	Streptophyta	118051.0	0
Chr24	28678893	0.3365	0	36.3408	Streptophyta	303145.0	0
Chr25	26720109	0.3351	23	34.7276	Streptophyta	133964.0	0
Chr26	29396819	0.334	192	34.8708	Streptophyta	131838.0	0
Chr27	26675833	0.3358	138	35.0376	Streptophyta	133238.0	0
Chr28	33426484	0.3371	0	35.5992	Streptophyta	134553.0	0
scaffold_100	31495	0.5706	0	55.2414	Streptophyta	92157.0	0
scaffold_101	30804	0.4327	0	2.0632	Bacteroidota	34206.0	0
scaffold_102	30757	0.4157	0	2.0664	Bacteroidota	38449.0	0
scaffold_103	30475	0.5708	0	35.4534	Streptophyta	92173.0	0
scaffold_104	30231	0.5704	0	35.4767	Streptophyta	92120.0	0
scaffold_105	30055	0.5706	0	32.2482	Streptophyta	92157.0	0
scaffold_106	30000	0.3987	0	4.5018	Bacteroidota	58521.0	0
scaffold_107	29639	0.6005	0	24.1236	Streptophyta	92066.0	0
scaffold_108	28916	0.4237	0	2.1979	Bacteroidota	42986.0	0
scaffold_109	28571	0.3786	0	2.2245	Bacteroidota	58545.0	0
scaffold_110	28084	0.5523	0	32.8142	Streptophyta	92080.0	0
scaffold_111	28025	0.5738	0	28.6311	Streptophyta	92120.0	0
scaffold_112	27654	0.3659	0	4.0219	Bacteroidota	18740.0	0
scaffold_113	27609	0.5768	0	22.1566	Streptophyta	92157.0	0
scaffold_114	27504	0.6063	0	57.7692	Streptophyta	92123.0	0
scaffold_115	27147	0.573	0	28.6792	Streptophyta	92158.0	0
scaffold_116	26500	0.3866	0	2.9979	Bacteroidota	23849.0	0
scaffold_117	26491	0.4303	0	2.699	Bacteroidota	32401.0	0
scaffold_118	26459	0.5639	0	48.6412	Streptophyta	92078.0	0
scaffold_119	26250	0.4014	0	3.0264	Bacteroidota	39512.0	0
scaffold_120	26107	0.3943	0	2.7387	Bacteroidota	27326.0	0
