## 1.1.1
## assembly	: /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/primary_asm/HART061.fa
## coverage	 bam0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART061/06_realign_hic_hifi/asm.hifi.bam
## taxonomy	 tax0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART061/07_busco_yak_blob/blast.out
## nodesDB	: /90daydata/coffea_pangenome/puzzler_trials/blob_downloads/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
Chr01	23621651	0.3418	138	45.6172	Streptophyta	110051.0	0
Chr02	26098548	0.3426	92	45.0549	Streptophyta	112717.0	0
Chr03	23559662	0.342	276	44.7439	Streptophyta	111875.0	0
Chr04	28566225	0.3416	23	45.729	Streptophyta	113142.0	0
Chr05	26027057	0.3405	92	44.6361	Streptophyta	109852.0	0
Chr06	32139186	0.3412	0	43.7797	Streptophyta	110963.0	0
Chr07	31142437	0.343	414	45.2836	Streptophyta	109284.0	0
Chr08	38946980	0.345	23	48.2653	Streptophyta	111914.0	0
Chr09	30022663	0.3457	276	43.9002	Streptophyta	112371.0	0
Chr10	37709813	0.3472	23	45.5703	Streptophyta	112990.0	0
Chr11	39412789	0.3449	0	46.5802	Streptophyta	112281.0	0
Chr12	28465457	0.3441	483	45.7162	Streptophyta	114418.0	0
Chr13	30394760	0.344	46	44.6668	Streptophyta	112730.0	0
Chr14	23514901	0.3433	115	45.3972	Streptophyta	113311.0	0
Chr15	28894133	0.3414	161	44.5503	Streptophyta	106533.0	0
Chr16	28714491	0.3524	353	43.5259	Streptophyta	112916.0	0
Chr17	33811077	0.3484	23	44.2421	Streptophyta	115710.0	0
Chr18	29059060	0.3432	115	45.3677	Streptophyta	113078.0	0
Chr19	34375193	0.3475	0	43.9128	Streptophyta	117119.0	0
Chr20	26262564	0.3441	46	44.5199	Streptophyta	112702.0	0
Chr21	31109261	0.3489	522	44.0758	Streptophyta	112639.0	0
Chr22	29121059	0.3441	69	46.1789	Streptophyta	109711.0	0
Chr23	26677082	0.3418	253	44.6194	Streptophyta	112552.0	0
Chr24	30846578	0.3437	69	48.5623	Streptophyta	112786.0	0
Chr25	33038099	0.3466	92	41.4018	Streptophyta	112817.0	0
Chr26	35173444	0.3465	23	44.1939	Streptophyta	113913.0	0
Chr27	31809017	0.348	184	44.1411	Streptophyta	109351.0	0
Chr28	37839738	0.3484	0	44.3162	Streptophyta	113445.0	0
scaffold_100	85569	0.7102	0	1.4565	Actinomycetota	40285.0	0
scaffold_101	84899	0.6743	0	3.2112	Pseudomonadota	160281.0	0
scaffold_102	83950	0.4295	0	2.598	Bacteroidota	58168.0	0
scaffold_103	83251	0.6607	0	2.2455	Pseudomonadota	361448.0	0
scaffold_104	82533	0.5634	0	53.4183	Streptophyta	96851.0	0
scaffold_105	82238	0.4208	0	1.9891	Bacteroidota	55891.0	0
scaffold_106	82206	0.4403	0	1.8003	Bacteroidota	42174.0	0
scaffold_107	81463	0.5573	0	55.2673	Streptophyta	96919.0	0
scaffold_108	80892	0.6852	0	3.5628	Actinomycetota	103115.0	0
scaffold_109	80763	0.6794	0	1.5432	Actinomycetota	52982.0	0
scaffold_110	80446	0.619	0	2.7112	Pseudomonadota	66016.0	0
scaffold_111	78687	0.6673	0	3.0687	Pseudomonadota	174408.0	0
scaffold_112	77591	0.6379	0	3.5136	Pseudomonadota	87282.0	0
scaffold_113	77445	0.6608	0	3.118	Pseudomonadota	116450.0	0
scaffold_114	76900	0.4336	0	2.2284	Bacteroidota	37326.0	0
scaffold_115	76804	0.4214	0	2.2312	Bacteroidota	66899.0	0
scaffold_116	76709	0.4076	0	1.3201	Bacteroidota	278244.0	0
scaffold_117	76331	0.4257	0	3.3675	Bacteroidota	44994.0	0
scaffold_118	76308	0.7117	0	4.3893	Actinomycetota	97251.0	0
scaffold_119	76154	0.6922	0	4.1936	Actinomycetota	82485.0	0
scaffold_120	75895	0.4357	0	2.2579	Bacteroidota	53755.0	0
scaffold_121	75591	0.5628	0	36.1691	Streptophyta	96851.0	0
scaffold_122	74391	0.5642	0	28.2712	Streptophyta	96851.0	0
scaffold_123	74154	0.3636	0	1619.1298	Streptophyta	1000726.0	0
scaffold_124	73859	0.4299	0	3.2693	Bacteroidota	51413.0	0
scaffold_125	73525	0.4439	0	3.602	Bacteroidota	96009.0	0
scaffold_126	73217	0.4095	0	1.1703	Bacteroidota	263438.0	0
scaffold_127	73068	0.706	0	3.4113	Actinomycetota	82110.0	0
scaffold_128	72972	0.4216	0	2.0281	Bacteroidota	46457.0	0
scaffold_129	72894	0.5656	0	40.82	Streptophyta	96885.0	0
scaffold_130	72038	0.4337	0	2.3788	Bacteroidota	125407.0	0
scaffold_131	71802	0.4427	0	1.5188	Bacteroidota	84638.0	0
scaffold_132	71651	0.423	0	2.7178	Bacteroidota	64929.0	0
scaffold_133	70943	0.5646	0	52.3733	Streptophyta	96857.0	0
scaffold_134	70761	0.6651	0	2.0915	Pseudomonadota	193698.0	0
scaffold_135	70648	0.4328	0	2.5359	Bacteroidota	119266.0	0
scaffold_136	69908	0.6462	0	1.1142	Pseudomonadota	29332.0	0
scaffold_137	69474	0.649	0	3.1393	Pseudomonadota	160642.0	0
scaffold_138	69253	0.4644	0	2.587	Bacteroidota	36410.0	0
scaffold_139	68783	0.5639	0	74.6286	Streptophyta	96851.0	0
scaffold_140	68166	0.5643	0	25.368	Streptophyta	96851.0	0
