## 1.1.1
## assembly	: /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/primary_asm/HART027.fa
## coverage	 bam0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART027/06_realign_hic_hifi/asm.hifi.bam
## taxonomy	 tax0 - /project/coffea_pangenome/Artocarpus/Assemblies/20250101_JustinAssemblies/HART027/07_busco_yak_blob/blast.out
## nodesDB	: /90daydata/coffea_pangenome/puzzler_trials/blob_downloads/data/nodesDB.txt
## taxrule	: bestsum
## min_score	: 0.0
## min_diff	: 0.0
## tax_collision_random	: False
##
# name	length	GC	N	bam0	phylum.t.6	phylum.s.7	phylum.c.8
Chr01	26926906	0.3456	46	16.0619	Streptophyta	69365.0	0
Chr02	30761875	0.3508	23	16.4026	Streptophyta	64964.0	0
Chr03	27894572	0.3477	161	16.71	Streptophyta	66293.0	0
Chr04	32981627	0.3464	23	16.5142	Streptophyta	65923.0	0
Chr05	30136295	0.3521	123	16.1956	Streptophyta	102045.0	0
Chr06	36013049	0.3516	215	16.2327	Streptophyta	101032.0	0
Chr07	34039628	0.345	560	16.5374	Streptophyta	97000.0	0
Chr08	40671472	0.3477	300	17.3345	Streptophyta	97507.0	0
Chr09	33830404	0.3479	23	16.8122	Streptophyta	66999.0	0
Chr10	39101457	0.3515	353	16.1693	Streptophyta	67159.0	0
Chr11	41373698	0.3507	0	16.5107	Streptophyta	97161.0	0
Chr12	36016163	0.3496	92	16.4379	Streptophyta	64737.0	0
Chr13	34150299	0.3506	46	16.635	Streptophyta	65217.0	0
Chr14	29924519	0.3537	115	16.3605	Streptophyta	97216.0	0
Chr15	29164572	0.3449	238	16.3523	Streptophyta	63904.0	0
Chr16	33452733	0.3568	146	16.2533	Streptophyta	77324.0	0
Chr17	37772321	0.3549	1238	35.2853	Streptophyta	1533000.0	0
Chr18	33043127	0.3506	23	16.276	Streptophyta	97167.0	0
Chr19	39306966	0.3532	192	15.9756	Streptophyta	66814.0	0
Chr20	32507601	0.3516	246	16.294	Streptophyta	97161.0	0
Chr21	35996625	0.3556	46	16.2976	Streptophyta	97166.0	0
Chr22	36935728	0.3491	284	16.5357	Streptophyta	93153.0	0
Chr23	32487298	0.3465	330	16.419	Streptophyta	75335.0	0
Chr24	37349970	0.3548	0	16.6442	Streptophyta	85649.0	0
Chr25	35177951	0.3561	0	15.7867	Streptophyta	94484.0	0
Chr26	39162329	0.359	169	16.4399	Streptophyta	66574.0	0
Chr27	32922792	0.3553	207	16.3156	Streptophyta	97161.0	0
Chr28	42231898	0.3538	100	16.468	Streptophyta	67414.0	0
scaffold_100	17741	0.5404	0	5.9507	Streptophyta	95435.0	0
scaffold_101	17254	0.5477	0	4.2066	Streptophyta	95493.0	0
scaffold_102	16956	0.5363	0	9.7284	Streptophyta	95435.0	0
scaffold_103	16714	0.5439	0	9.8692	Streptophyta	95380.0	0
scaffold_104	16642	0.5243	0	7.9295	Streptophyta	95493.0	0
scaffold_105	16568	0.3322	0	5.5755	Streptophyta	16393.0	0
scaffold_106	16506	0.5456	0	7.1954	Streptophyta	95493.0	0
scaffold_107	16159	0.5414	0	4.8999	Streptophyta	95493.0	0
scaffold_108	16012	0.4435	0	6.1812	Streptophyta	4011.0	0
scaffold_109	15912	0.5466	0	9.1227	Streptophyta	95493.0	0
scaffold_110	15826	0.5455	0	5.003	Streptophyta	95493.0	0
scaffold_111	15806	0.5445	0	4.5919	Streptophyta	95493.0	0
scaffold_112	15563	0.5448	0	2.9678	Streptophyta	95435.0	0
scaffold_113	15551	0.5456	0	8.4859	Streptophyta	95493.0	0
scaffold_114	15363	0.5489	0	3.8654	Streptophyta	95493.0	0
scaffold_115	15086	0.5497	0	6.9979	Streptophyta	95380.0	0
scaffold_116	14830	0.5481	0	3.5594	Streptophyta	95493.0	0
scaffold_117	14789	0.5375	0	4.0154	Streptophyta	95493.0	0
scaffold_118	14547	0.5497	0	5.4429	Streptophyta	95382.0	0
scaffold_119	14468	0.3931	0	14.1376	Streptophyta	19763.0	0
scaffold_120	14389	0.5505	0	7.7955	Streptophyta	95493.0	0
scaffold_121	14350	0.5507	0	6.897	Streptophyta	95493.0	0
scaffold_122	14270	0.536	0	4.6238	Streptophyta	95493.0	0
scaffold_123	14185	0.5488	0	2.7909	Streptophyta	95493.0	0
scaffold_124	14126	0.5503	0	4.6709	Streptophyta	95493.0	0
scaffold_125	13965	0.5486	0	2.8349	Streptophyta	94531.0	0
scaffold_126	13490	0.5511	0	4.8912	Streptophyta	95493.0	0
scaffold_127	13449	0.5494	0	3.9249	Streptophyta	95493.0	0
scaffold_128	13407	0.549	0	3.9372	Streptophyta	95493.0	0
scaffold_129	13374	0.5435	0	4.4402	Streptophyta	95493.0	0
scaffold_130	13137	0.5504	0	1.5068	Streptophyta	95375.0	0
scaffold_131	12096	0.5133	0	7.0913	Streptophyta	40965.0	0
scaffold_132	11386	0.3713	0	15.6465	Streptophyta	3650.0	0
scaffold_133	10584	0.5496	0	3.1171	Streptophyta	76686.0	0
scaffold_134	9818	0.3056	0	19.4894	no-hit	0.0	0
scaffold_135	6208	0.3721	0	3.1886	no-hit	0.0	0
scaffold_136	100000	0.3533	0	15.3078	Streptophyta	11044.0	0
scaffold_137	50000	0.3419	0	14.2521	Streptophyta	16765.0	0
scaffold_29	1740726	0.3475	0	16.5227	Streptophyta	51319.0	0
scaffold_30	1056747	0.3598	0	16.1091	Streptophyta	42917.0	0
scaffold_31	1052683	0.3655	0	15.4819	Streptophyta	58931.0	0
scaffold_32	356366	0.3875	0	37.7339	Streptophyta	95471.0	0
scaffold_33	249508	0.5354	0	76.0286	Streptophyta	95649.0	0
scaffold_34	177588	0.5408	0	65.7633	Streptophyta	95837.0	0
